scene,label
churchoutdoor,door
churchoutdoor,tree
churchoutdoor,grass
churchoutdoor,window
conferenceroom,window
conferenceroom,chair
conferenceroom,curtain
conferenceroom,person
conferenceroom,table
bedroom,window
diningroom,window
restaurant,window
livingroom,window
conferenceroom,painting
churchoutdoor,person
diningroom,chair
diningroom,painting
diningroom,table
kitchen,chair
kitchen,painting
kitchen,person
kitchen,table
kitchen,window
livingroom,chair
livingroom,painting
livingroom,sofa
livingroom,table
restaurant,chair
restaurant,painting
restaurant,painting
restaurant,person
restaurant,table
